Date y-m-d,High,Low,Wind mph,UV Index,Pressure hPa,Humidity %,Obs
2025-04-12,20,5,10,3,1007,56,mostly sunny
2025-04-11,20,4,5,4,1022,55,sunny
2025-04-10,16,4,9,4,1031,65,mostly sunny
2025-04-09,15,1,12,4,1030,58,mostly sunny/windy
2025-04-08,14,1,12,4,1028,61,partly cloudy
2025-04-07,14,1,8,4,1027,59,sunny
2025-04-06,16,3,12,4,1025,54,sunny
2025-04-05,17,6,16,4,1022,56,mostly sunny/windy
2025-04-04,20,7,16,3,1021,61,partly cloudy/windy
2025-04-03,18,6,15,3,1021,60,mostly sunny/windy
2025-04-02,15,4,18,4,1024,58,sunny/windy
2025-04-01,15,2,15,5,1027,61,cloudy morning/sunny/windy
*,*,*,*,*,*,*,April
2025-03-31,15,3,7,4,1028,64,mostly sunny
2025-03-30,14,6,19,4,1020,61,mostly sunny/windy
2025-03-29,13,3,18,3,1020,59,partly cloudy/windy
2025-03-28,11,4,15,3,1012,66,partly cloudy/morning drizzle/windy
2025-03-27,15,4,13,3,1019,71,partly cloudy
2025-03-26,15,4,9,4,1025,66,mostly sunny
2025-03-25,14,5,10,3,1022,77,cloudy
2025-03-24,13,6,11,4,1018,69,partly cloudy
2025-03-23,13,7,13,3,1004,84,cloudy/evening rain
2025-03-22,15,10,10,3,1000,84,cloudy/evening rain
2025-03-21,16,7,12,2,1008,69,mostly cloudy/windy
2025-03-20,17,5,8,3,1019,66,sunny
2025-03-19,13,-1,5,3,1022,68,sunny morning/cloudy
2025-03-18,11,1,14,4,1025,57,sunny/windy
2025-03-17,9,2,13,3,1029,69,cloudy
2025-03-16,6,-1,10,2,1026,75,cloudy
2025-03-15,7,0,12,3,1023,70,mostly cloudy
2025-03-14,7,0,9,2,1012,79,mostly cloudy
2025-03-13,7,1,14,2,1005,75,mostly cloudy/windy/afternoon showers
2025-03-12,7,1,13,2,1004,73,partly cloudy/windy/afternoon showers
2025-03-11,8,2,14,2,1008,71,cloudy/windy
2025-03-10,13,5,16,2,1005,74,cloudy/windy
2025-03-09,17,6,12,2,1004,61,partly cloudy
2025-03-08,15,6,11,2,1009,83,partly cloudy
2025-03-07,15,7,12,2,1011,74,cloudy
2025-03-06,15,3,15,2,1013,66,sunny morning/partly cloudy/windy
2025-03-05,13,1,11,3,1021,63,sunny/windy
2025-03-04,13,0,9,3,1026,63,sunny
2025-03-03,11,-1,5,3,1029,71,sunny
2025-03-02,10,-1,6,3,1034,67,sunny
2025-03-01,9,-1,3,2,1034,73,partly cloudy
*,*,*,*,*,*,*,March
2025-02-28,9,0,4,2,1029,76,morning fog/mostly sunny
2025-02-27,8,2,13,2,1020,70,sunny/windy
2025-02-26,9,2,13,1,1012,82,partly cloudy/morning rain/showers afternoon
2025-02-25,10,4,11,1,1013,73,mostly sunny
2025-02-24,11,7,17,1,1010,81,mostly sunny/windy/morning rain
2025-02-23,11,6,26,1,1017,80,cloudy/wind/afternoon rain
2025-02-22,12,6,13,1,1012,80,cloudy
2025-02-21,15,10,23,1,1008,83,cloudy/wind/laight rain
2025-02-20,13,7,18,1,1012,90,cloudy/windy/showers
2025-02-19,8,0,12,1,1016,78,cloudy
2025-02-18,6,-1,12,1,1021,74,sunny
2025-02-17,5,-1,12,1,1023,76,sunny
2025-02-16,5,0,11,1,1021,80,cloudy/light rain
2025-02-15,5,1,8,1,1020,87,cloudy/light rain
2025-02-14,4,0,12,1,1025,74,morning cloudy/mostly sunny
2025-02-13,4,1,9,1,1024,79,cloudy
2025-02-12,6,3,9,1,1020,87,cloudy/drizzle
2025-02-11,5,3,10,1,1019,90,cloudy/morning fog/drizzle
2025-02-10,4,2,16,1,1026,87,cloudy/morning drizzle/windy
2025-02-09,7,2,15,1,1029,89,cloudy/rain/morning fog
2025-02-08,5,2,11,1,1020,90,cloudy/rain
2025-02-07,4,2,19,1,1028,80,cloudy/windy/evening rain
2025-02-06,7,0,12,1,1043,83,mostly sunny/morning fog
2025-02-05,8,2,10,1,1037,80,partly cloudy
2025-02-04,10,4,20,1,1021,86,cloudy/windy/some drizzle
2025-02-03,8,1,12,1,1023,90,cloudy/some drizzle
2025-02-02,7,1,10,1,1022,82,sunny
2025-02-01,6,3,10,1,1028,88,cloudy
*,*,*,*,*,*,*,February
2025-01-31,7,2,12,1,1024,89,cloudy/drizzle all day
2025-01-30,6,0,13,1,1020,80,mostly sunny/windy
2025-01-29,8,4,13,1,1003,84,mostly cloudy
2025-01-28,8,5,19,1,982,91,cloudy/windy/showers
2025-01-27,8,5,23,1,979,82,cloudy/windy/showers
2025-01-26,8,1,24,1,994,85,cloudy/windy/rain/storm HERMINIA
2025-01-25,6,1,13,1,1003,79,sunny
2025-01-24,10,4,30,1,994,70,sunny/STRONG WIND/STORM EOWYN
2025-01-23,7,1,20,1,1001,88,cloudy/windy/night rain
2025-01-22,5,2,6,1,1005,91,mostly cloudy/morning fog
2025-01-21,6,2,8,1,1013,90,mostly cloudy
2025-01-20,4,0,7,1,1018,89,partly cloudy
2025-01-19,3,1,7,1,1021,85,cloudy
2025-01-18,3,0,6,1,1029,88,cloudy
2025-01-17,6,0,9,1,1034,89,mostly cloudy
2025-01-16,7,1,8,1,1034,94,cloudy/fog
2025-01-15,9,4,6,1,1034,95,sunny
2025-01-14,9,3,9,1,1034,91,mostly cloudy
2025-01-13,4,1,12,1,1038,85,cloudy
2025-01-12,4,-3,8,1,1039,87,mostly cloudy
2025-01-11,0,-6,4,1,1030,94,sunny
2025-01-10,1,-4,5,1,1020,85,mostly sunny
2025-01-09,2,-3,11,0,1008,84,clear sky/sunny
2025-01-08,2,-2,9,0,1002,93,mostly cloudy
2025-01-07,4,-1,10,0,998,87,mostly cloudy
2025-01-06,11,1,22,0,980,87,cloudy/windy/morning rain
2025-01-05,12,0,21,1,987,97,cloudy/windy/morning snow
2025-01-04,3,-1,13,1,1015,86,cloudy/night snow
2025-01-03,4,-2,13,1,1023,84,sunny
2025-01-02,3,-2,9,0,1019,83,sunny
2025-01-01,11,3,27,0,1003,86,cloudy/wind/morning rain
*,*,*,*,*,*,*,January
